date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:18:24	67369/67369	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Mar%202020%2010:11:36%20GMT	http://avehtml.liquid-themes.com/index-seo.html	E:/pichar.io/avehtml.liquid-themes.com/index-seo.html	(from )
21:18:25	181/181	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Apr%202020%2015:48:26%20GMT	http://avehtml.liquid-themes.com/robots.txt		(from )
21:18:25	2448/2448	---M--	200	added ('OK')	image/png	etag:%22990-5a11e46f9b787%22	http://avehtml.liquid-themes.com/favicon.png	E:/pichar.io/avehtml.liquid-themes.com/favicon.png	(from http://avehtml.liquid-themes.com/index-seo.html)
21:18:28	1869/1869	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202020%2015:48:29%20GMT	https://use.typekit.net/scc6wwx.css	E:/pichar.io/use.typekit.net/scc6wwx.css	(from http://avehtml.liquid-themes.com/index-seo.html)
21:18:29	66663/66663	---MCZ	200	added ('OK')	text/css	etag:W/%2210467-57f2cf24d6400%22	http://avehtml.liquid-themes.com/assets/vendors/liquid-icon/liquid-icon.min.css	E:/pichar.io/avehtml.liquid-themes.com/assets/vendors/liquid-icon/liquid-icon.min.css	(from http://avehtml.liquid-themes.com/index-seo.html)
21:18:29	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%227918-55a81fa68b380%22	http://avehtml.liquid-themes.com/assets/vendors/font-awesome/css/font-awesome.min.css	E:/pichar.io/avehtml.liquid-themes.com/assets/vendors/font-awesome/css/font-awesome.min.css	(from http://avehtml.liquid-themes.com/index-seo.html)
21:18:30	119076/119076	---MCZ	200	added ('OK')	text/css	etag:W/%221d124-58521c3be5900%22	http://avehtml.liquid-themes.com/assets/css/theme-vendors.min.css	E:/pichar.io/avehtml.liquid-themes.com/assets/css/theme-vendors.min.css	(from http://avehtml.liquid-themes.com/index-seo.html)
21:18:33	591630/591630	---MCZ	200	added ('OK')	text/css	etag:W/%229070e-5a10c2b148d80%22	http://avehtml.liquid-themes.com/assets/css/theme.min.css	E:/pichar.io/avehtml.liquid-themes.com/assets/css/theme.min.css	(from http://avehtml.liquid-themes.com/index-seo.html)
21:18:33	2081/2081	---MCZ	200	added ('OK')	text/css	etag:W/%22821-58c5efce16e40%22	http://avehtml.liquid-themes.com/assets/css/themes/seo.css	E:/pichar.io/avehtml.liquid-themes.com/assets/css/themes/seo.css	(from http://avehtml.liquid-themes.com/index-seo.html)
21:18:33	5974/5974	---MCZ	200	added ('OK')	application/javascript	etag:W/%221756-57017e240a780%22	http://avehtml.liquid-themes.com/assets/vendors/modernizr.min.js	E:/pichar.io/avehtml.liquid-themes.com/assets/vendors/modernizr.min.js	(from http://avehtml.liquid-themes.com/index-seo.html)
21:18:34	64290/64290	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Mar%202020%2010:11:36%20GMT	http://avehtml.liquid-themes.com/index.html	E:/pichar.io/avehtml.liquid-themes.com/index.html	(from http://avehtml.liquid-themes.com/index-seo.html)
21:18:34	1576/1576	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22628-57a785416d540%22	http://avehtml.liquid-themes.com/assets/img/logo/logo-1.svg	E:/pichar.io/avehtml.liquid-themes.com/assets/img/logo/logo-1.svg	(from http://avehtml.liquid-themes.com/index-seo.html)
21:18:35	497/497	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221f1-58ffeabd6cec0%22	http://avehtml.liquid-themes.com/assets/demo/bg/bg-75.svg	E:/pichar.io/avehtml.liquid-themes.com/assets/demo/bg/bg-75.svg	(from http://avehtml.liquid-themes.com/index-seo.html)
